sample_ID,compound_seen,strain_seen,time_seen,plate_seen,source_seen,instrument_seen,time_distance,expert_disagreement,compound_log1p_count,strain_log1p_count,plate_log1p_count,A,B,C,n_obs_proteins,axis,fold_id,field_col,gate_value
B2-376,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2328389701522838,6.013715156042802,0.0,3.4339872044851463,0.2250139393451046,-0.0210787636820352,0.0213344732179848,3691,strain,2,Strains,0.35
B2-399,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2292697020912781,6.013715156042802,0.0,3.4011973816621555,0.22528098171399,-0.0166613239939501,0.0257967751402315,3750,strain,2,Strains,0.35
B2-424,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2354342980154098,5.6240175061873385,0.0,3.4011973816621555,0.2295603847207092,-0.0133100340396226,0.0291367697421344,3715,strain,2,Strains,0.35
B2-435,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2350882398539608,5.313205979041787,0.0,3.4011973816621555,0.2323590881193507,-0.017303340648025,0.0292481237756345,3747,strain,2,Strains,0.35
B2-436,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.223573516774655,5.332718793265369,0.0,3.4011973816621555,0.2264247144022299,-0.0144648870615536,0.0234731161979938,3796,strain,2,Strains,0.35
B2-447,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2411644808373195,5.342334251964811,0.0,3.4011973816621555,0.2352393244055284,-0.0136558967097708,0.031289730293168,3732,strain,2,Strains,0.35
B2-459,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2362259722959555,5.308267697401205,0.0,3.4011973816621555,0.2316890892371597,-0.0174753688929084,0.0302726777128414,3756,strain,2,Strains,0.35
B2-460,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2279479314824609,5.313205979041787,0.0,3.4011973816621555,0.2165988270455829,-0.017810463629012,0.0248737444566128,3771,strain,2,Strains,0.35
B2-472,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2292697020912781,6.013715156042802,0.0,3.4011973816621555,0.2086374329880916,-0.0123918861445012,0.0264842118164659,3771,strain,2,Strains,0.35
B2-483,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2366481267662764,5.683579767338681,0.0,3.4011973816621555,0.2307820402701207,-0.0136095394242671,0.0240817901354747,3671,strain,2,Strains,0.35
B2-495,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2579544313933964,6.013715156042802,0.0,3.4011973816621555,0.2193986387480633,-0.0154367262794708,0.0303167133649142,3658,strain,2,Strains,0.35
B2-496,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2515902916171625,5.318119993844216,0.0,3.4011973816621555,0.3486397309141561,-0.0139877698362241,0.0338528601153413,3761,strain,2,Strains,0.35
B2-520,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2439338109070747,5.6240175061873385,0.0,3.4011973816621555,0.2197883283699185,-0.0112972204235318,0.0295471131988915,3671,strain,2,Strains,0.35
B2-531,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2298036720957261,5.313205979041787,0.0,3.4011973816621555,0.2427046348541739,-0.013249493246838,0.0245109716721046,3757,strain,2,Strains,0.35
B2-532,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2280918872732751,5.332718793265369,0.0,3.4011973816621555,0.2266995167035531,-0.0163749502159322,0.0260024154525211,3695,strain,2,Strains,0.35
B2-543,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2420295619035231,5.342334251964811,0.0,3.4011973816621555,0.2185668559014705,-0.0071663018206371,0.0282888315629379,3711,strain,2,Strains,0.35
B2-555,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.237900008649246,5.308267697401205,0.0,3.4011973816621555,0.2178629389229145,-0.0116830239869591,0.029156342451937,3709,strain,2,Strains,0.35
B2-556,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2523495552696927,5.313205979041787,0.0,3.4011973816621555,0.2396858337689601,-0.0375908800457166,0.0361279536523012,3704,strain,2,Strains,0.35
B2-568,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2579544313933964,6.013715156042802,0.0,3.4011973816621555,0.2137215250552961,-0.0179366267533064,0.030780422060219,3763,strain,2,Strains,0.35
B2-579,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2261224395585087,5.683579767338681,0.0,3.4339872044851463,0.2291786229772421,-0.0059623321161411,0.021181814703712,3719,strain,2,Strains,0.35
B2-591,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2069877803278199,6.013715156042802,0.0,3.4339872044851463,0.2436392122395083,-0.0095365928890503,0.0150799500467402,3718,strain,2,Strains,0.35
B2-592,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2160577023117833,5.318119993844216,0.0,3.4339872044851463,0.2263847381516684,-0.0107350459299896,0.0188474490340658,3750,strain,2,Strains,0.35
B2-616,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2109477065222799,5.6240175061873385,0.0,3.4339872044851463,0.2316151352429276,-0.0097803123791016,0.0160597370627112,3690,strain,2,Strains,0.35
B2-627,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2193650493967405,5.313205979041787,0.0,3.4339872044851463,0.2313795902060828,-0.0066683843116565,0.0192308407641024,3713,strain,2,Strains,0.35
B2-639,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2073291756878442,5.342334251964811,0.0,3.4339872044851463,0.2433502950541082,-0.0133198128520955,0.0189910323509739,3704,strain,2,Strains,0.35
B2-651,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2008235847911998,5.308267697401205,0.0,3.4339872044851463,0.2582771685827623,-0.0100225848796591,0.0163964408473315,3708,strain,2,Strains,0.35
B2-664,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2069877803278199,6.013715156042802,0.0,3.4339872044851463,0.233200258314572,-0.0084853077057605,0.0150815709706373,3710,strain,2,Strains,0.35
B2-687,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.1920728721397455,6.013715156042802,0.0,3.332204510175204,0.2467004468251146,-0.008116269769139,0.0146884046160749,3791,strain,2,Strains,0.35
